PID,UR,Alias,Merged,Deleted,IHI,familyName,givenName,birthdate,sex,streetNo,streetName,streetType,suburb,state,postcode,country,longitude,latitude,medicareNo,dvaNo,dvaType,married,race,deathDate
500063,300126,,,,8003609903582086,JONES,KENNETH,1943-03-04,M,99902,LINKS,STREET,Tandur,NT,3109,AUS,145.1615,-37.7758,35751623263,,,S,4,
500064,300128,,,,8003609903582136,WILSON,JANET,1981-07-31,F,99958,SESAME,BOULEVARD,Karatta,QLD,2137,AUS,151.1110,-33.8426,29009789631,,,M,4,
500065,300130,,,,8003609903582177,WILLIAMS,TONI,2004-12-02,F,99978,ICEHOUSE,STRAND,Westbourne Park,ACT,6010,AUS,115.7774,-31.9600,69340161421,,,S,4,
500066,300132,,,,8003609903582227,WILSON,GREGORY,1996-04-16,M,99953,DUNNING,CIRCUS,Prospect Hill,TAS,2118,AUS,151.0446,-33.7745,25946569072,,,M,4,
500067,300134,,,,8003609903582276,TAYLOR,ELAINE,2003-09-11,F,99952,DRAPER ALPINE,RIDGE,Gilgooma,SA,4275,AUS,153.1525,-28.1286,40861757453,,,S,4,
500068,300136,,,,8003609903582326,SMITH,TERRI,1986-07-02,F,99993,HANSEN HOLLOW,PLACE,La Perouse,WA,5046,AUS,138.5354,-35.0074,56855417151,,,D,4,
500069,300138,300014,,,8003609903579546,SMITH,DANIEL,1976-04-19,M,99961,STRATTON,RISE,Tiona,WA,3607,AUS,145.1787,-36.8552,37099950653,,,M,4,
500070,300140,,,,8003609903582417,SMITH,PAUL,1934-07-29,M,99931,GLEN PARK,ESPLANADE,Woocoo,VIC,5670,AUS,134.8888,-33.4684,53248641772,,,M,4,
500071,300142,,,,8003609903582458,JOHNSON,COREY,1975-07-12,M,99999,HENSLEY,TRACK,Putney,VIC,5141,AUS,138.7051,-34.9345,57812499971,,,M,4,
500072,300144,,,,8003609903582490,SMITH,JOHNNY,1947-09-25,M,99955,MOUNTAIN VISTA,WAY,Sampson Flat,WA,2210,AUS,151.0565,-33.9618,23804425222,,,M,4,
500073,300146,,,,8003609903582532,MARTIN,GAIL,1995-04-23,F,99940,FIRETIP,RISE,Doveton,TAS,4855,AUS,146.0265,-17.8673,44554510243,VA288022A,WHT,M,4,
500074,300148,,,,8003609903582573,JOHNSON,RACHEL,1963-07-06,F,99997,ECLIPSE,LANE,Mount Budd,ACT,3895,AUS,147.7356,-37.3017,36193577924,,,M,4,
500075,300150,,,,8003609903582623,WILLIAMS,HARRISON,1934-05-13,M,99944,JEAN,PLACE,Shackleton,NSW,5322,AUS,139.9248,-34.1660,55290613724,,,D,4,1976-03-23
500076,300152,,,,8003609903582664,WHITE,JOY,1962-02-17,F,99938,PEMBERLY VALE,TERRACE,Petherick,NT,3620,AUS,145.0177,-36.3268,39795997833,,,S,1,
500077,300154,,,,8003609903582706,SMITH,JACQUELINE,1974-11-05,F,99907,BAYWOOD,CAUSEWAY,Goorganga Creek,SA,7469,AUS,145.0703,-41.8071,55333628564,,,M,4,
500078,300156,,300008,,8003609903579413,JOHNSON,FRED,1994-07-25,M,99980,ROSEDALE,VISTA,Lalor,ACT,5033,AUS,138.5658,-34.9321,59507559551,,,M,4,
500079,300158,,,,8003609903582789,TAYLOR,CARROLL,1989-07-19,M,99997,GRANITEVIEW,ROAD,Warkworth,ACT,3004,AUS,144.9783,-37.8268,33690908432,,,S,4,
500080,300160,,,,8003609903582821,JONES,NAN,1998-10-04,F,99909,FOXFIELD,TERRACE,Kiama Heights,NT,3264,AUS,142.8764,-38.2461,33401498843,,,S,4,
500081,300162,,,,8003609903582862,SMITH,STEFANIE,1960-06-10,F,99946,EMBARCADERO,VISTA,Jingellic,NT,4404,AUS,151.4295,-27.3695,40530242872,,,M,4,
500082,300164,,,,8003609903582912,SMITH,ZACHARY,1978-07-09,M,99911,FOGGIA,PROMENADE,Turtons Creek,NSW,4226,AUS,153.3734,-28.0498,43539098914,,,M,4,
500084,300168,,,,8003609903583001,SMITH,SUSAN,1949-04-08,F,99988,MEADOW LILY,LANE,Piney Range,ACT,5261,AUS,139.8095,-35.5771,56110576754,,,M,4,
500085,300170,,,,8003609903583050,SMITH,CAROL,1992-01-10,M,99954,GOLDEN STONE,CONCOURSE,Uriarra Village,NSW,6069,AUS,116.0797,-31.7677,61038444015,,,S,4,
500086,300172,,300010,,8003609903579462,JOHNSON,SHELLY,2011-08-26,F,99951,HUNTERS CREEK,CRUISEWAY,South Morang,NT,2044,AUS,151.1781,-33.9159,24976625372,,,S,4,
500087,300174,,,,8003609903583134,WILSON,TONI,1962-11-04,F,99902,DOLOMITE,GLEN,Pyramid Hill,ACT,4422,AUS,149.8644,-27.2766,40304614011,,,M,4,
500088,300176,,,,8003609903583175,SMITH,JAMES,2014-03-17,M,99946,AVELINE,DRIVE,Kingston Park,ACT,3889,AUS,148.8156,-37.6397,39526651115,,,S,4,
500089,300178,,300016,,8003609903579587,JONES,MARY,2011-03-21,F,99938,CLEGG,CRESCENT,Banyo,SA,3802,AUS,145.2584,-37.9690,37592625965,,,S,4,
500090,300180,,,,8003609903583258,BROWN,DIANA,1950-05-31,F,99931,IVEY,DRIVE,Ballandean,ACT,3809,AUS,145.4086,-38.0507,31750191545,,,M,4,
500091,300182,,,,8003609903583308,BROWN,AMANDA,2009-02-07,F,99951,POND VIEW,COURT,Marom Creek,ACT,5411,AUS,138.7765,-34.2601,52939794015,,,S,4,
500092,300184,,,,8003609903583340,SMITH,ALTON,1993-08-27,M,99915,TOLCATE,PARKWAY,Walloway,ACT,3324,AUS,143.4122,-37.8716,31248461744,,,W,4,
500093,300186,,,,8003609903583381,JONES,CHRISTOPHER,1983-05-26,M,99902,TERMINAL,CIRCLE,Monduran,TAS,3747,AUS,146.6599,-36.3280,34936126273,,,S,4,
500094,300188,,,,8003609903583431,JOHNSON,SANDRA,1994-06-20,F,99975,KIRK,TERRACE,Elmhurst,QLD,2734,AUS,143.8768,-35.3279,24809593444,,,M,4,
500095,300190,,,,8003609903583472,WILSON,JONATHAN,1933-09-19,M,99914,DELTA,TERRACE,Sexton,ACT,6473,AUS,118.2426,-30.3269,69684827242,,,S,4,
500097,300194,,,,8003609903583563,JONES,ROBERTO,1982-12-01,F,99949,MIRACLE,MALL,Spring Ridge,VIC,7254,AUS,147.2724,-41.1872,58629624652,,,S,4,
500098,300196,,,,8003609903583605,JONES,KAREN,1986-12-10,F,99940,AMANDA,TERRACE,Jeparit,WA,2035,AUS,151.2236,-33.9368,22675265152,,,M,4,
500099,300198,,,,8003609903583647,JOHNSON,JASON,1979-07-21,M,99996,KELSEY VISTA,LANE,Bringalily,NSW,3869,AUS,146.3561,-38.3704,39355520034,,,S,4,
500100,300200,,,,8003609903583688,WHITE,CHRISTOPHER,1977-01-15,M,99934,HONEYBERRY,CRUISEWAY,Casterton,NT,4061,AUS,152.9451,-27.4433,45431513421,,,M,4,
500101,300202,,,,8003609903583720,WILSON,DONNA,1987-02-18,F,99927,BONANZA,VISTA,Nambung,ACT,2441,AUS,152.9469,-30.8195,25444094464,,,M,4,
500102,300204,,300018,,8003609903579637,JOHNSON,ROSALINDA,2016-04-15,F,99912,BRAEMAR,AVENUE,Mingenew,VIC,4743,AUS,148.1190,-21.3530,43027340511,,,S,4,
500103,300206,,,,8003609903583811,JONES,SANDA,1961-02-13,F,99909,EDDYRICKNBCKER,CLOSE,Ravensdale,ACT,4313,AUS,152.4710,-27.0335,43018300942,,,S,4,
500104,300208,,,,8003609903583852,MARTIN,GREGORY,1999-07-27,M,99915,DANAUS,RIDGE,Baxter,SA,2421,AUS,151.5410,-32.4858,20765421515,,,S,4,
500105,300210,,,,8003609903583902,JONES,LINDA,1969-08-17,F,99972,CASSOWARY,CIRCUS,Walkamin,SA,6084,AUS,116.0368,-31.6727,60330424663,,,S,4,
500106,300212,,,,8003609903583951,MARTIN,CHAD,1952-03-26,M,99936,RANCHES LOOP,VIEW,Katrine,NSW,3824,AUS,146.1424,-38.3318,39221492632,,,D,4,
500107,300214,,300012,,8003609903579504,WILLIAMS,DONALD,1994-09-29,M,99928,AVELINE,TERRACE,Balwyn,QLD,6290,AUS,115.2132,-34.2687,69112759831,,,S,4,
500108,300216,,,,8003609903584033,TAYLOR,KATHERINE,1985-01-11,F,99960,KIRKHAM,GROVE,Gooburrum,NSW,3723,AUS,146.1449,-37.2055,38618407171,,,S,4,
500109,300218,,,,8003609903584074,SMITH,YOLANDA,1992-03-22,F,99910,BROWNING,SQUARE,Fletcher Creek,ACT,2804,AUS,148.6757,-33.5337,23560583831,,,S,4,
500110,300220,,,,8003609903584124,TAYLOR,GABRIELA,1992-12-04,F,99913,SOMERSET,GROVE,Clara Creek,WA,2175,AUS,150.8480,-33.8426,25733047773,,,M,4,2012-12-02
500111,300222,,,,8003609903584173,WILSON,ALETHIA,2012-04-05,F,99935,WINTER GLEN,VISTA,Upper Brookfield,TAS,3027,AUS,144.7444,-37.8630,31550747821,,,S,4,
500112,300224,,,,8003609903584223,SMITH,RONALD,1980-01-10,M,99927,CITATION,RIDGE,Tardun,NSW,2612,AUS,149.1549,-35.2889,22235626033,,,W,4,
500113,300226,,,,8003609903584264,WILLIAMS,STEVEN,1986-03-08,M,99990,BRAENEAR,GROVE,Caloundra,NT,3712,AUS,145.8152,-37.2723,37753289432,,,M,4,
500114,300228,,,,8003609903584314,SMITH,CARLOS,1964-05-25,M,99973,GRANITE PARK,VISTA,Holts Flat,TAS,6271,AUS,115.5682,-33.5606,61263182764,,,D,1,
500115,300230,,,,8003609903584363,TAYLOR,JAMES,1976-12-22,M,99960,LAST CAMP,ESPLANADE,Torrens Vale,WA,2784,AUS,150.4092,-33.7277,22196533572,,,S,4,
500116,300232,,300012,,8003609903579504,WILLIAMS,DONALD,1994-09-29,M,99984,ORCHARD,CRUISEWAY,Litchfield Park,ACT,3639,AUS,145.1008,-35.9637,69112759831,,,S,4,
500117,300234,,,,8003609903584454,SMITH,OFELIA,1977-03-04,F,99927,HONEYWOOD COVE,TERRACE,Dyraaba Creek,SA,3478,AUS,143.3868,-36.4700,33198680215,,,S,4,1980-11-13
500118,300236,,,,8003609903584496,SMITH,ALEXANDER,1996-12-07,M,99902,SILVER SHADOWS,ESPLANADE,Deua,WA,5710,AUS,137.8568,-32.5126,51648387271,,,M,4,
500119,300238,,300010,,8003609903579462,JOHNSON,SHELLY,2011-08-26,F,99951,HUNTERS CREEK,CRUISEWAY,South Morang,NT,2044,AUS,151.1781,-33.9159,24976625372,,,S,4,
500120,300240,,,,8003609903584587,JOHNSON,DONALD,1959-07-20,M,99969,ALDEN,COURT,Blacksmiths,SA,3796,AUS,145.3852,-37.7864,37374960135,,,M,4,
500121,300242,,,,8003609903584629,JONES,GEORGE,1946-07-09,M,99934,ADAM HILL,CRESCENT,Yornup,TAS,2577,AUS,150.6449,-34.6692,20414733234,,,S,4,
500122,300244,,,,8003609903584660,WILSON,DAVID,2012-09-23,M,99921,UINTAH PEAK,CRUISEWAY,Myrtlebank,TAS,2125,AUS,151.0331,-33.7476,23947782272,,,S,4,
500123,300246,,,,8003609903584710,MARTIN,VICTOR,1944-12-07,M,99973,SAGE VIEW,CIRCUIT,Moolort,NSW,4012,AUS,153.0637,-27.4005,42156963413,,,M,4,
500124,300248,,,,8003609903584769,WILLIAMS,RONALD,1989-01-11,M,99916,BIRKHILL,WAY,Mosman,TAS,3322,AUS,143.6587,-38.0393,33065062115,,,W,4,
500125,300250,,,,8003609903584801,SMITH,CHRISTOPHER,2001-10-30,M,99928,RIVER VILLAGE,PLACE,Teelba,NT,5304,AUS,140.7864,-35.0468,52253272642,,,S,1,
500126,300252,,,,8003609903584843,SMITH,ROSE,1988-07-21,F,99948,RIVER CREEK,STRAND,Boobyalla,SA,2080,AUS,151.1411,-33.6527,27616301845,,,S,4,
500127,300254,,,,8003609903584884,WILSON,TERESA,1937-04-19,F,99977,FLAMINGO,CRESCENT,Tarnma,NSW,3142,AUS,145.0180,-37.8410,36568672323,,,S,4,2006-03-31
500128,300256,,,,8003609903584926,WILSON,BRIAN,1969-10-08,M,99919,WOLF CREEK,AVENUE,Havelock,QLD,5470,AUS,138.4775,-33.5640,58131779515,,,S,4,
500129,300258,,,,8003609903584975,BROWN,THOMAS,1947-06-05,M,99988,RYE,CIRCUIT,Erub,VIC,6375,AUS,117.7011,-32.3580,66530585231,,,M,4,
500130,300260,,,,8003609903585022,MARTIN,HEATHER,1970-07-05,F,99974,BONNIE BROOK,ROAD,Toorak,ACT,4383,AUS,151.9643,-28.9436,42374862225,,,M,4,1996-11-16
500131,300262,,,,8003609903585063,WILSON,BETSY,1990-11-25,F,99995,SPLIT RAIL,PARADE,Upotipotpon,WA,4350,AUS,151.9943,-27.5529,45787062761,VA826276C,GOL,S,4,
500132,300264,,,,8003609903585105,SMITH,CHRISTY,1965-06-14,F,99979,OLD VILLA,STREET,Liverpool Westfield,VIC,5470,AUS,138.4775,-33.5640,51710502965,,,M,4,
500133,300266,,,,8003609903585154,WHITE,LAURIE,1942-05-24,F,99906,DAVENPORT,STREET,Dilkoon,WA,3688,AUS,146.7380,-36.1869,33560829071,,,M,4,
500134,300268,300016,,,8003609903579587,JONES-WILSON,MARY,2011-03-21,F,99982,POKEGAMA,CRESCENT,Tumby Bay,TAS,4555,AUS,152.9277,-26.7146,37592625965,,,S,4,
500135,300270,,,,8003609903585253,SMITH,MADELINE,1992-07-19,F,99913,TITHING RIDGE,DRIVE,Condamine,SA,3688,AUS,146.7380,-36.1869,32952557253,,,M,4,
500137,300274,,,,8003609903585352,WHITE,RONALD,1971-02-06,M,99946,MYRON,PARADE,Lammermoor,WA,3039,AUS,144.9198,-37.7653,37608265721,,,M,4,2008-09-25
500138,300276,,,,8003609903585402,JOHNSON,DANIEL,1963-12-06,M,99956,KEEPSAKE,COURT,Bexley North,TAS,4486,AUS,148.0689,-28.5098,40129578461,,,M,4,
500139,300278,,,,8003609903585451,SMITH,LATASHA,1998-08-13,F,99947,CONNOR RIDGE,CIRCUS,Dean Park,NT,6050,AUS,115.8542,-31.9140,61900853854,NPX42882B,UNK,S,4,
500140,300280,,,,8003609903585501,TAYLOR,DANIEL,1952-09-16,M,99921,COUNTRY RIDGE,WALKWAY,Glendon Brook,ACT,5068,AUS,138.6456,-34.9237,59833706374,,,S,4,
500141,300282,,,,8003609903585543,WILLIAMS,KORI,1993-04-10,F,99950,CAMELBACK,CONCOURSE,Balnagowan,SA,2317,AUS,152.0893,-32.7293,20839256924,,,M,4,
500142,300284,,,,8003609903585584,MARTIN,STEPHANIE,1978-07-22,F,99961,LEVEL,HIGHWAY,Kingsley,NT,5255,AUS,138.8689,-35.2504,50662979023,,,M,4,
500143,300286,,,,8003609903585634,WHITE,EVERETT,1991-09-08,M,99902,RANDOLPH,CLOSE,Rheban,QLD,2835,AUS,145.3561,-31.9329,22430856641,,,S,4,
500144,300288,300018,,,8003609903579637,JOHNSON-BROWN,ROSALINDA,2016-04-15,F,99912,BRAEMAR,AVENUE,Mingenew,VIC,4743,AUS,148.1190,-21.3530,43027340511,,,S,4,
500145,300290,,,,8003609903585717,JONES,ANNE,1987-05-02,F,99994,DAISYFIELD,ESPLANADE,Bamganie,NT,2557,AUS,150.7784,-34.0136,26144060954,,,W,4,
500146,300292,,,,8003609903585758,SMITH,MARY,2011-07-29,F,99937,IRIE,CLOSE,Biggera Waters,ACT,3786,AUS,145.3323,-37.8754,30850894743,,,S,1,
500147,300294,,,,8003609903585808,JONES,NATALIE,2014-10-19,F,99936,BANKS,CRUISEWAY,Bangadang,SA,3566,AUS,144.3402,-35.9437,36484849864,,,S,4,
500148,300296,,,,8003609903585840,WILSON,JOAN,1998-05-21,F,99963,HIGH PINE,WAY,Kirknie,SA,6236,AUS,115.9529,-33.4282,63788299423,,,S,4,
500149,300298,,,,8003609903585899,WILLIAMS,SANDRA,1996-11-08,F,99917,OLD CREEK,LANE,Nubeena,SA,2527,AUS,150.7431,-34.6017,23177180725,,,D,4,
500150,300300,,,,8003609903585931,BROWN,STEVEN,1935-08-16,M,99910,RAMANEE,CLOSE,Shute Harbour,ACT,0820,AUS,130.8467,-12.4117,00182533444,,,S,4,
