PID,UR,AltUR,Alias,Merged,Deleted,IHI,familyName,givenName,birthdate,sex,streetNo,streetName,streetType,suburb,state,postcode,country,longitude,latitude,medicareNo,dvaNo,dvaType,married,race,deathDate
20016,10089,302462,,,,8003609903634465,TAYLOR,DEBBIE,1965-11-14,F,99954,WILDBERRY,STRAND,Sturt Creek,ACT,3066,AUS,144.9881,-37.8018,33349748934,,,M,4,
20017,10094,301204,,,,8003609903606224,SMITH,LEE,1984-03-18,M,99917,ADAMS GARDEN,WAY,Gidya,SA,2756,AUS,150.8717,-33.5841,27913286464,,,M,4,
20018,10099,304122,,,,8003609903671889,SMYTHE,NICOLE,1978-03-03,F,99922,FRIENDSHIP,PLACE,Tapping,VIC,4575,AUS,153.1326,-26.6979,41395532822,,,M,4,
20019,10105,305982,,,,8003609903579546,SMITH,RAMON,1976-04-19,M,99961,STRATTON,RISE,Tiona,WA,3607,AUS,145.1787,-36.8552,37099950653,,,M,4,
20020,10110,303786,,,,8003609903664298,WILLIAMS,GLENN,1939-03-17,M,99901,REDBRICK,GLEN,Alpine,ACT,5050,AUS,138.5830,-35.0291,58881947642,,,M,4,
20021,10115,302598,,,,8003609903637450,WILLIAMS,CLEMENTINA,1953-05-12,F,99939,CANYON GATE,DRIVE,Glen Nevis,VIC,4879,AUS,145.6676,-16.7467,40325506715,,,S,4,
20022,10121,304720,,,,8003609903685293,WILLIAMS,ANA,1995-12-24,F,99961,SCHORR,GROVE,Sussex Inlet,WA,5640,AUS,136.3219,-33.3488,53992049963,,,D,4,
20023,10127,302628,,,,8003609903638144,JONES,BEAU,1994-01-13,M,99993,CORAL RIDGE,VIEW,Nunjikompita,ACT,2703,AUS,146.4084,-34.6307,28935396714,,,S,4,
20024,10132,304334,,,,8003609903676649,JONES,ELMIRA,1964-09-01,F,99918,LUCHARS,MALL,East Greenmount,TAS,2294,AUS,151.7679,-32.9122,25397919132,,,M,4,
20025,10137,303166,,,,8003609903650347,SMITH,EMMA,1950-04-09,F,99958,MT AIRE,RIDGE,Berrys Creek,NT,2586,AUS,148.7147,-34.1366,25573922723,,,S,4,
20026,10143,300832,,,,8003609903597886,SMITH,OLGA,1932-01-24,F,99993,GATEHOUSE,BOULEVARD,Cowley Creek,WA,2216,AUS,151.1426,-33.9542,20464506763,,,M,4,
20027,10149,,,,,,BROWN,TIMOTHY,1987-09-11,M,99964,SILVER BUCKLE,STRAND,East Point,VIC,4037,AUS,152.9384,-27.3408,48214645665,,,M,4,
20028,10155,304272,,,,8003609903675237,WILSON,CHRIS,1979-07-31,M,99996,AMBLEWOOD,ROAD,Mount Doran,ACT,2445,AUS,152.8176,-31.5779,29693377612,,,M,4,
20029,10160,305454,,,,8003609903701884,WHITE,MATHEW,1971-10-03,M,99910,WOOD SPRING,TERRACE,West Albury,VIC,6351,AUS,117.9057,-33.1164,60614972542,,,D,4,
20030,10165,301114,,,,8003609903604211,WHITE,RAY,1960-01-22,M,99932,BURNS,RISE,Upper Scamander,ACT,6084,AUS,116.0734,-31.7191,66833269923,,,M,4,
20031,10170,302806,,,,8003609903642203,JONES,BETTY,1981-02-19,F,99966,SAW MILL,HIGHWAY,Rheola,QLD,6003,AUS,115.8707,-31.9402,61321651155,,,M,4,
20032,10176,301862,,,,8003609903620951,JONES,TERRIE,1956-10-19,F,99979,SUNDOWN,GROVE,Vinifera,WA,4719,AUS,150.1127,-24.8986,65100245761,,,S,4,
20033,10182,301066,,,,8003609903603148,SMITH,HERMAN,2013-06-21,M,99992,LAURELHURST,CLOSE,Kybong,ACT,6428,AUS,118.0276,-32.1500,69108017835,,,S,4,
20034,10188,304180,,,,8003609903673190,WILSON,NELLY,1935-08-04,F,99902,RAIN CREST,CIRCUIT,Grafton West,QLD,3440,AUS,144.5640,-37.4236,31660520133,,,M,4,
20035,10194,302538,,,,8003609903636155,MARTIN,JO,1937-07-20,F,99940,LAKE BRIDGE,LANE,Whale Beach,TAS,6630,AUS,115.4366,-27.7233,60074063211,,,M,4,
20036,10199,304990,,,,8003609903691341,WILSON,BRITT,2002-08-08,F,99933,NOBLE OAKS,GROVE,Prince Regent River,TAS,2463,AUS,153.1070,-29.3892,55465680113,,,S,4,
20037,10205,303780,,,,8003609903664157,BROWN,MICHELE,1940-11-21,F,99910,TONI LEE,ALLEY,Badgerin Rock,SA,4568,AUS,152.8110,-26.4013,48387695423,,,D,4,2011-05-16
20038,10210,303184,,,,8003609903650743,JONES,ANDRE,1984-07-13,M,99916,PINE VALLEY,RIDGE,Dixvale,NT,2671,AUS,147.3035,-33.8906,23618475675,,,M,4,
20039,10216,305138,,,,8003609903579637,JOHNSON,ROSALINDA,2016-04-13,F,99908,FOX DEN,WAY,Butlers Gorge,WA,2371,AUS,151.5495,-29.3661,43027340511,,,S,4,
20040,10221,302612,,,,8003609903637781,WILSON,HAZEL,1974-07-20,F,99917,PIPEVINE,WAY,Oakden,NT,4210,AUS,153.2793,-27.9408,43246827075,,,S,4,
20041,10227,303076,,,,8003609903648309,WILSON,LORRAINE,1966-03-24,F,99987,SWEETBASIL,CENTREWAY,Daguragu,ACT,3831,AUS,145.9607,-37.9566,33893117524,,,M,4,
20042,10233,305352,,,,8003609903699542,JOHNSON,LINDA,1976-02-13,F,99914,WHISTLER,LANE,Jelcobine,VIC,2398,AUS,149.7939,-29.7095,23652091265,,,M,4,
20043,10239,,,,,,JONES,SHAREN,1946-07-08,F,99987,VIRDEN,TERRACE,Pelican,QLD,3620,AUS,145.0687,-36.2088,37966674023,,,D,4,
20044,10245,,,,,,WILLIAMS,EUGENIO,1965-07-20,M,99944,OLD BINGHAM,CLOSE,Glenelg South,ACT,4885,AUS,145.5988,-17.3131,44098119633,,,S,4,
20045,10250,304570,,,,8003609903681912,MARTIN,LUCINDA,2002-10-13,F,99963,LINCOLN OAKS,TRACK,Weldborough,ACT,2199,AUS,151.0220,-33.9042,21864283831,,,S,4,
20046,10256,304996,,,,8003609903691473,WILLIAMS,GEORGINA,1986-05-15,F,99939,LITSON,MALL,Malbina,SA,3444,AUS,144.4614,-37.1841,45092630135,,,M,4,
20047,10262,,,,,,SMITH,DAVID,1957-12-09,M,99944,CRESTLINE,ESPLANADE,Tooan,TAS,2016,AUS,151.2073,-33.8931,23738289854,,,M,4,
20048,10267,302230,,,,8003609903629275,WILLIAMS,SCOTT,1994-12-22,M,99976,BOULDEN,SQUARE,Logans Crossing,TAS,3238,AUS,143.3876,-38.6675,39976271644,,,M,4,2000-06-26
20049,10273,,10035,,,,SMITH (SMITH),JAYNE,1971-12-26,F,99904,RIVER GLEN,PARADE,Papunya,ACT,4287,AUS,152.8010,-28.1910,44835606653,,,M,4,
20050,10278,305888,,,,8003609903579330,SMITH,LINDA,1952-11-18,F,99962,ASPEN HAVEN,ROAD,Eildon,WA,2134,AUS,151.1041,-33.8783,23427236525,,,M,4,
20051,10283,301854,,,,8003609903620779,SMITH,WM,1996-12-13,M,99998,SUMMIT PEAK,AVENUE,Mooney Mooney,TAS,3097,AUS,145.2611,-37.6635,32581150523,,,S,4,
20052,10288,300188,,,,8003609903583431,JOHNSON,SANDRA,1994-06-20,F,99975,KIRK,TERRACE,Elmhurst,QLD,2734,AUS,143.8768,-35.3279,24809593444,,,M,4,
20053,10293,,,,,,SMITH,ANA,1977-06-12,F,99935,VISTA VIEW,TERRACE,Jacana,NSW,5432,AUS,139.0940,-31.7507,56460779632,,,M,4,
20054,10298,305260,,,,8003609903697470,JOHNSON,SHERRI,1955-03-25,F,99992,SUGAR PINE,RIDGE,Fishery Falls,WA,2843,AUS,149.7653,-31.7845,22091007314,,,M,4,
20055,10304,305776,,,,8003609903709127,WILSON,SHARON,1964-11-14,F,99936,BONAR BRIDGE,CRESCENT,Ellis Beach,TAS,5554,AUS,137.7403,-33.9577,57195742674,,,M,4,
20056,10309,,10006,,,,SMITH,VICTOR,2008-06-25,M,99980,DEER CANYON,STREET,Wedderburn Junction,QLD,2827,AUS,148.2759,-31.6932,27680701761,,,S,4,
20057,10314,300662,,,,8003609903594024,WHITE,GARY,1979-05-23,M,99931,TOWN HOUSE,PROMENADE,Gum Scrub,ACT,5034,AUS,138.5936,-34.9641,54281163651,,,S,4,
20058,10319,305566,,,,8003609903704375,WHITE,LISA,1983-12-31,F,99953,TAOS,COURT,Angourie,WA,5373,AUS,139.0123,-34.3664,54335929264,,,M,4,
20059,10325,305328,,,,8003609903698999,BROWN,DEANNA,1992-08-07,F,99907,WESTLAKE,CENTREWAY,Kootingal,TAS,4852,AUS,146.0920,-17.8262,45442823032,NSM51745 ,ORN,M,4,
20060,10330,303378,,,,8003609903655114,BROWN,HEATHER,2016-11-01,F,99999,DAVID,CAUSEWAY,Endeavour Hills,WA,2143,AUS,151.0210,-33.8918,28658334725,,,S,4,
20061,10335,305366,,,,8003609903581567,MARTIN,PEGGY,1951-03-14,F,99978,LABRUM,GROVE,South Maroota,NT,6566,AUS,116.5276,-31.4864,62624476155,,,S,4,
20062,10341,303692,,,,8003609903662136,JONES,NANCY,1978-10-09,F,99951,BAY BRIDGE,WALK,Prairiewood,ACT,4650,AUS,152.8016,-25.5199,30678558865,,,S,4,
20063,10347,,,,,,SMITH,BRYAN,1975-06-22,M,99914,SALT GRASS,ESPLANADE,North Curl Curl,TAS,6050,AUS,115.8754,-31.9307,66887405644,,,S,4,
20064,10352,305338,,,,8003609903699211,WILSON,HERBERT,2014-08-07,M,99975,HAVEN HILLS,RIDGE,Wilga West,QLD,2286,AUS,151.5704,-32.9149,27015259951,,,S,4,
20065,10357,305186,,,,8003609903695847,WILSON,STEPHEN,1993-10-22,M,99951,MARTHA,PARKWAY,Girralong,VIC,4000,AUS,153.0258,-27.4704,26456744412,,,D,4,
20066,10362,,,,,,SMITH,HATTIE,1951-04-09,F,99920,USIXTY FIVE,STREET,Siesta Park,TAS,4158,AUS,153.1995,-27.4809,40661764024,,,D,4,1988-12-07
20067,10368,303264,,,,8003609903652590,JONES,SHAUN,1998-06-01,M,99943,SPRING WILLOW,WAY,Alberton West,TAS,2824,AUS,147.5708,-31.1848,28497887574,,,S,4,
20068,10373,305976,,,,8003609903713632,SMITH,RAE,1976-06-06,F,99972,PEPPERWOOD,CIRCUIT,Tindal Raaf,QLD,2037,AUS,151.1784,-33.8806,27601101872,,,S,4,
20069,10379,302900,,,,8003609903579413,JOHNSON,KYLE,1994-07-25,M,99980,ROSEDALE,VISTA,Lalor,ACT,5033,AUS,138.5658,-34.9321,59507559551,,,M,4,
20070,10384,304834,,,,8003609903581732,TAYLOR,TIM,1985-08-13,M,99951,NORA,RIDGE,Sunshine Plaza,WA,5067,AUS,138.6282,-34.9307,59569805964,,,S,4,
20071,10390,302038,,,,8003609903624938,SMITH,VIRGINIA,1950-05-13,F,99923,COPPER HOLLOW,GROVE,Lower Beulah,VIC,5007,AUS,138.5758,-34.8982,54191287154,,,D,4,
20072,10396,303364,,,,8003609903654794,WILLIAMS,ROCHELLE,1972-03-21,F,99954,COLONEL,RIDGE,Turners Marsh,WA,3218,AUS,144.3336,-38.1376,31355644932,,,D,4,
20073,10402,305146,,,,8003609903579371,JONES,ROBERT,2010-09-18,M,99959,FAWN HILL,STREET,Lower Turners Marsh,QLD,3163,AUS,145.0411,-37.8921,32613579854,,,S,4,
20074,10408,305372,,,,8003609903579462,JOHNSON,SHELLY,2011-08-26,F,99951,HUNTERS CREEK,CRUISEWAY,South Morang,NT,2044,AUS,151.1781,-33.9159,24976625372,,,S,4,
20075,10414,,,,,,WILLIAMS,SHARON,1941-01-27,F,99963,SAN MARINO,WAY,Reddestone,SA,3051,AUS,144.9435,-37.7968,31399191235,,,S,4,
20076,10420,301928,,,,8003609903622437,WILLIAMS,GERARDO,1937-09-06,M,99900,HARVEST SUN,VIEW,Mayvale,ACT,3579,AUS,143.6523,-35.7711,35287044554,,,S,4,
20077,10425,303736,,,,8003609903579298,TAYLOR,KEVIN,2016-02-14,M,99973,PAMELA,SQUARE,Goomally,VIC,2011,AUS,151.2283,-33.8716,25833890031,,,S,4,
20078,10430,303990,,,,8003609903668893,TAYLOR,THEO,1950-10-21,M,99944,LEFTHAND FORK,RIDGE,Collinsvale,WA,4868,AUS,145.7515,-16.9578,46515700243,,,M,4,
20079,10436,,,,,,SMITH,TONI,2000-11-27,F,99939,RED HEATHER,CIRCUS,Mcgraths Hill,SA,4555,AUS,152.9277,-26.7146,41182590635,,,S,4,
20080,10442,301036,,,,8003609903579504,WILLIAMS,GRANT,1994-09-29,M,99939,LAKESIDE,GLEN,Enoggera,ACT,3146,AUS,145.0677,-37.8564,69112759831,,,S,4,
20081,10447,301388,,,,8003609903610358,WILSON,LILLIAN,1934-11-27,F,99917,KEYSTONE,ALLEY,Bindi Bindi,QLD,2795,AUS,149.4136,-33.4896,20158732274,,,M,4,
20082,10452,300866,,,,8003609903598645,WHITE,SALLIE,2000-06-01,F,99981,SADDLE HILL,GROVE,St Kilda Road,WA,2538,AUS,150.2606,-35.4982,27053026973,,,S,4,
20083,10458,303176,,,,8003609903650578,TAYLOR,KAYE,1991-07-06,F,99934,COLONIAL,ALLEY,Bankstown Aerodrome,SA,4371,AUS,152.3338,-28.1405,43199473843,,,M,4,1998-11-16
20084,10464,302852,,,,8003609903643235,BROWN,SARA,1946-04-30,F,99951,MTN,MALL,Clara Creek,SA,2450,AUS,152.9585,-30.0805,23359326373,QIV62103C,WHT,S,4,
20085,10470,,,,,,SMITH,EVERETT,1944-09-01,M,99947,DEL,ESPLANADE,Mundulla West,VIC,6630,AUS,115.5532,-28.4913,69559640854,,,M,4,
20086,10476,300432,,,,8003609903588885,SMITH,PATRICIA,1978-03-21,F,99968,UPLAND,ESPLANADE,Hamilton Central,WA,2009,AUS,151.1926,-33.8686,26259111761,,,M,1,
20087,10481,302856,,,,8003609903643326,BROWN,TIFFANY,1943-02-11,F,99932,CAWDOR,CLOSE,Mannuem,ACT,3051,AUS,144.9435,-37.7968,32082029872,,,S,4,
20088,10486,302164,,,,8003609903627774,WILLSON,KARLA,1965-10-25,F,99952,ENSIGN,STREET,Warrenmang,WA,5603,AUS,136.3224,-33.8784,53836779431,,,D,4,
20089,10491,303042,,,,8003609903647558,JONES,KIP,1964-12-14,M,99972,AMARYLLIS,ROAD,Schroeder,QLD,2195,AUS,151.0755,-33.9187,24668111732,,,S,4,
20090,10496,305940,,,,8003609903615423,SMITH,AMANDA,1972-12-01,F,99980,COTTAGE PINES,ROAD,Kellys Plains,SA,6575,AUS,116.3697,-30.3978,69363615164,,,M,4,
20091,10502,,,,,,WILLIAMS,STEVE,1949-04-19,M,99917,MEADOWAY,STREET,Jabuk,ACT,3028,AUS,144.7590,-37.8812,37320503542,,,M,4,
20092,10508,305010,,,,8003609903691770,WHITE,TAMEKA,1932-06-30,F,99962,BERKELEY,CIRCUIT,Murrigal,VIC,2478,AUS,153.5579,-28.8440,28385619063,,,M,4,
20093,10513,303552,,,,8003609903658951,SMITH,SHERMAN,1939-12-16,M,99957,BLUE STONE,MALL,Hampton Park,TAS,4358,AUS,151.8449,-27.7288,25935878764,,,W,4,
20094,10518,303646,,,,8003609903661088,MCDONELL,DUSTIN,1961-09-21,M,99911,CHERRY OAK,ROAD,Whroo,NT,2193,AUS,151.1288,-33.9100,21810951172,,,M,4,
20095,10524,304450,,,,8003609903679288,BROWN,DANETTE,1964-05-31,F,99901,BLUERISE,PARKWAY,Northgate Mc,ACT,6346,AUS,119.6226,-33.5691,69555559962,,,S,4,
20096,10529,304764,,,,8003609903686309,WILSON,RUBIE,1972-09-12,F,99998,ALTAVILLA,STRAND,New Port,QLD,6383,AUS,117.3555,-32.1557,62468016353,,,S,4,
20097,10534,,,,,8003609903579769,BROWN,MIRANDA,1971-10-31,F,99967,WYNGATE VIEW,CIRCUIT,Bootenal,ACT,7301,AUS,147.0333,-41.6224,58537103861,,,S,4,
20098,10540,,,,,,JONES,BARBARA,2016-05-17,F,99969,BRETT,CENTREWAY,Macquarie Hills,TAS,3507,AUS,142.0332,-35.1109,39977886742,,,S,4,
20099,10545,300674,,,,8003609903594305,SMITH,DOUG,2008-12-16,M,99946,EUGENE HL,CONCOURSE,Dog Rocks,WA,3862,AUS,147.3020,-37.3343,38360409565,,,S,4,
20100,10550,304206,,,,8003609903673778,MARTIN,CALVIN,1969-04-26,M,99997,LT COTTONWOOD,ROAD,Seddon West,NT,2257,AUS,151.3553,-33.5269,27582207173,,,M,4,
20101,10556,,,,,,BROWN,REBECCA,1982-01-13,F,99982,CRSCNT PRK,CENTREWAY,Caniambo,SA,2832,AUS,148.0156,-29.9742,26906426935,,,S,4,
20102,10562,301666,,,,8003609903616587,WILLIAMS,MARIE,2007-11-27,F,99970,WATERHOUSE,CIRCUIT,Marrickville Metro,TAS,3996,AUS,145.7114,-38.6204,32421987213,,,S,4,
20103,10568,303038,,,,8003609903647475,JOHNS,HELEN,1981-12-30,F,99951,PEACEFUL PARK,VIEW,Horse Creek,VIC,2132,AUS,151.1169,-33.8789,20685926664,,,M,4,
20104,10573,304676,,,,8003609903684304,WILLIAMS,AMOS,1958-03-15,M,99914,MOUNT BALDY,CAUSEWAY,East Warburton,WA,4160,AUS,153.2555,-27.5081,49446568015,,,S,4,
20105,10579,,,10000,,,BROWN,TONI,1932-07-14,F,99911,MILLENNIUM,CAUSEWAY,Wee Wee Rup,TAS,2671,AUS,147.3754,-33.6566,21498490745,,,S,4,
20106,10584,303866,,,,8003609903666095,TAYLER,ROLAND,1941-05-01,M,99972,WADSWORTH PARK,GROVE,Cowandilla,TAS,2431,AUS,153.0376,-30.9234,20512413424,,,S,4,
20107,10589,,10050,,,8003609903579363,WILLIAMS,WILLIAM,2010-05-11,M,99911,LAMPTON,SQUARE,Weatherboard,NT,4343,AUS,152.2895,-27.5101,43125682572,,,S,4,
20108,10594,301640,,,,8003609903616009,SMITH,THERESA,1962-03-15,F,99964,HOLLANDIA,ESPLANADE,Fernside,NT,5455,AUS,138.6482,-33.7059,57633312254,,,S,4,
20109,10599,304740,,,,8003609903685764,WILSON,JORDAN,1945-07-30,F,99935,POACHER,RISE,Horseshoe Bend,VIC,6571,AUS,116.4385,-30.9269,69808145342,,,M,4,
20110,10605,305986,,,,8003609903713863,JOHNSON,SAMMY,1940-01-05,F,99973,WALDO,HIGHWAY,Burnley,SA,4159,AUS,153.2078,-27.4966,53523620253,,,D,4,
20111,10611,,,,,8003609903579918,SMITH,KATHERINE,1990-01-04,F,99987,JUPITER,STREET,Wellington Vale,QLD,5510,AUS,138.1507,-33.9192,54412991523,,,M,4,
20112,10617,304834,,,,8003609903581732,TAYLOR,TIM,1985-08-13,M,99951,NORA,RIDGE,Sunshine Plaza,WA,5067,AUS,138.6282,-34.9307,59569805964,,,S,4,
20113,10622,,,,,,BROWN,OSCHKER,1985-07-16,M,99936,SERRA,WAY,Emmaville,NT,4497,AUS,148.7991,-28.5461,42263819351,,,D,4,
20114,10627,305810,,,,8003609903703799,WHITE,KARL,1959-10-31,M,99957,BLACKSHEAR,WALKWAY,Capertee,WA,3940,AUS,144.8747,-38.3728,30107732763,,,M,4,
20115,10633,303036,,,,8003609903647434,JONES,DWAYNE,2004-03-25,M,99979,ROARING,LANE,Kuttabul,NT,3174,AUS,145.1888,-37.9495,30093591454,,,S,4,
20116,10638,304322,,,,8003609903676375,WHITE,RACHELLE,2010-05-02,F,99916,SUNBIRD,GLEN,The Gurdies,WA,5162,AUS,138.5281,-35.1208,57333733661,,,S,4,
20117,10644,302960,,,,8003609903645685,SMITH,ERIN,1948-10-01,F,99966,WINDER,CLOSE,Little Desert,NT,7022,AUS,147.4220,-43.0260,42851611641,,,W,4,
20118,10649,,,,,8003609903579942,SMITH,RAY,2010-02-17,M,99981,OLIVE BROOK,CLOSE,Mackay Caneland,NT,5083,AUS,138.6151,-34.8758,57511298231,,,S,4,
20119,10655,305364,,,,8003609903699815,MARTIN,ESTHER,1987-01-09,F,99993,CORNER RIDGE,CAUSEWAY,Berrys Creek,WA,7304,AUS,146.3951,-41.5671,58957352674,,,S,4,
20120,10660,302222,,,,8003609903629085,MARTIN,KATE,1978-11-13,F,99986,LUSTERPOINTE,CIRCUS,Watersleigh,NT,4517,AUS,152.9715,-26.9521,47467624261,,,M,4,
20121,10666,303964,,,,8003609903668307,JONES,NATHAN,1974-08-20,M,99950,SAHARA DUNE,SQUARE,The Summit,WA,5417,AUS,140.1451,-33.7491,57561807315,,,S,4,
20122,10671,305504,,,,8003609903702999,WHITE,BETTY,2006-12-28,F,99987,WILLIAMSBURG PARK,PLACE,Jeffcott North,ACT,2264,AUS,151.5225,-33.0733,24416156943,,,S,4,
20123,10676,303120,,,,8003609903649315,BROWN,NEIL,1961-02-05,M,99995,LAKE BRIDGE,VISTA,Torrens Park,WA,3230,AUS,144.1535,-38.3793,30542896714,,,W,4,
20124,10681,,,,,,BROWN,ROXY,1953-02-28,F,99957,RED LODGE,VISTA,Brunswick North,SA,4036,AUS,153.0171,-27.3074,42354115542,,,M,4,
20125,10686,304082,,,,8003609903670998,TAYLOR,JOSE,1952-07-22,M,99957,BLOSSOMWOOD,STREET,Charlotte Cove,SA,3016,AUS,144.8884,-37.8611,35117333851,,,M,4,
20126,10691,300704,,,,8003609903579249,SMITH (WILLIAMS),JANIE,1980-12-13,F,99959,HIGHLANDCV,TERRACE,Cornwallis,SA,4498,AUS,149.7636,-28.2225,41553023145,,,M,4,
20127,10697,303206,,,,8003609903651261,SMITH,KATIE,1968-07-19,F,99958,FENNELL,TERRACE,Billinudgel,NT,3275,AUS,142.4635,-38.2895,37339478462,,,S,4,
20128,10702,304792,,,,8003609903686929,JONES,WILLY,1939-09-26,M,99997,LOYOLA,RISE,Port Sorell,SA,2715,AUS,143.3892,-34.3432,24483292432,,,M,4,
20129,10708,,,,,,WILLIAMS,DARLA,1993-09-25,F,99946,MINTGREEN,WALKWAY,Kanyaka,VIC,6396,AUS,116.9613,-34.3608,64820141251,,,M,4,
20130,10713,304884,,,,8003609903579546,SMITH,EDWARD,1976-04-19,M,99961,STRATTON,RISE,Tiona,WA,3607,AUS,145.1787,-36.8552,37099950653,,,M,4,
20131,10719,,,,,,BROWN,THELMA,1971-04-19,F,99960,ORCHARD,CIRCLE,Woorarra West,SA,4869,AUS,145.7756,-17.0218,47151315971,,,M,4,
20132,10724,300638,,,,8003609903593505,MARTIN,ANITA,1991-03-14,F,99978,STANWICK,GROVE,Tugrabakh,WA,3269,AUS,143.0501,-38.5735,30093970362,,,M,4,
20133,10730,305544,,,,8003609903703898,WHITE,JEAN,1941-08-16,F,99929,TALIESEN,WALK,Crib Point,WA,2401,AUS,150.3501,-29.6116,25651405235,,,M,4,
20134,10735,,,,,,WILLIAMS,THOMAS,2008-07-22,M,99998,SUNSET VIEW,GLEN,Archies Creek,QLD,2835,AUS,144.8386,-32.3368,25787434453,,,S,4,
20135,10741,301556,,,,8003609903614137,SMITH,RANDY,1940-05-09,M,99998,PARK BEND,STRAND,Umagico,ACT,6760,AUS,119.7402,-21.1644,62184081051,,,S,4,
20136,10746,,,,,,SMITH,MILDRED,1951-03-07,F,99921,LEARNED,WALK,Trigg,SA,7320,AUS,145.9208,-41.0753,58152000362,,,S,4,1972-02-15
20137,10752,,10012,,,,SMITH (WILLIAMS),PEARL,1958-08-21,F,99917,HAWKER,VIEW,Sawyers Valley,SA,4174,AUS,153.1275,-27.4440,49752866755,,,M,4,
20138,10757,304500,,,,8003609903680351,WILSON,ERVIN,1965-03-05,M,99960,GARDEN VISTA,RIDGE,Mount Berryman,NT,6572,AUS,116.4016,-30.8037,65945939462,,,D,4,
20139,10762,,,,,,SMITH,VIRGINIA,1955-05-20,F,99905,SILICA,VISTA,Healy,NT,3537,AUS,143.6182,-36.0782,30697614435,,,M,4,
20140,10768,302446,,,,8003609903634101,WILLIAMS,MARTHA,2010-02-06,F,99980,HARVEST FIELD,CONCOURSE,Bingegang,NT,5461,AUS,138.2654,-34.0813,52980284434,,,S,4,
20141,10773,304644,,,,8003609903683595,WILSON,DAWN,2011-03-02,F,99967,CERVANTES,CLOSE,Westville,TAS,3590,AUS,143.4794,-35.2220,34249460875,,,S,4,
20142,10779,305622,,,,8003609903705638,JOHNSON,KENNETH,1941-06-07,M,99941,FROGS LEAP,CONCOURSE,Coocooboonah,WA,3764,AUS,144.9590,-37.3010,35330440662,,,M,1,
20143,10784,302812,,,,8003609903642336,MARTIN,JONATHAN,1983-07-13,M,99999,LARISSA,DRIVE,Derwent Park,NT,4178,AUS,153.1530,-27.4537,49521924233,,,M,4,
